address,zip,BuildingType,CalendarYear built,HeatingHeating,SnowflakeCooling,ParkingParking,HOAHOA,LotLot,Price Square FeetPrice/sqft,Rent,Mortgage fees per month,Mortgage fees per year,Walk Score,School Rank,Violent Crime,Property Crime
"928 Lynda Rd, Waterloo, IA 50701",50701,Single Family Residence,1978,Forced Air,Central Air,2,,10454,121,,425,5097,72,116,2484,2484
"2908 Quentin Trl, Logan, IA 51546",51546,Single Family Residence,2020,Forced Air Electric,Central Air,3,,318424,278,,1116,13388,0,,,
"630 Spencer Ave, Council Bluffs, IA 51503",51503,SINGLE_FAMILY,1957,Forced air Gas,Central,,,9583,120,,372,4462,7,101,2484,5845
"119 C Ave, Washington, IA 52247",52247,Single Family Residence,1900,Forced Air Natural Gas,Electric Wall/Window Unit(s),1,,,123,,255,3057,53,,5845,1805
"10216 Powell Ave, Kellerton, IA 50133",10216,Single Family Residence,2021,Forced Air Gas Natural Gas,Central Air,3,150,10890,260,,777,9325,9,,,
"1401 Allowa St, Ayrshire, IA 50515",50515,Single Family Residence,1900,Forced Air,None,1,,26136,15,,35,423,0,,,
"5618 Brook View Ave, Des Moines, IA 50317",50317,Unimproved Land,,,,,,,,,134,1606,7,148,1805,4091
"0 Cooks Rd, Waukon, IA 52172",52172,Unimproved Land,,,,,,,,,53,638,71,107,,
"1336 23rd St, Des Moines, IA 50311",50311,Multi Family,1890,,Window Unit(s),,,,61,,414,4970,80,60,4091,4091
"422 8th Ave SW, Cedar Rapids, IA 52404",52404,Single Family Residence,1900,Forced Air Natural Gas,Central Air,1,,,93,,234,2802,71,106,4091,3336
"1307 Allowa St, Ayrshire, IA 50515",50515,Single Family Residence,1888,Forced Air,Window Unit(s),2,,15246,5,,33,395,0,,,
"422 Bryan Rd, Ottumwa, IA 52501",52501,Single Family Residence,1954,Forced Air,Central Air,2,,33106,55,,329,3952,17,36,3336,4120
"1215 Drake Ave, Centerville, IA 52544",52544,Single Family Residence,1914,Baseboard,None,2,,6969,80,,166,1989,46,,4120,2363
"1321 W 13th St S, Newton, IA 50208",50208,Single Family Residence,1956,Forced Air,Central Air,2,,14375,115,,634,7609,27,127,,
"1090 Ridge Ln, Harlan, IA 51537",51537,Single Family Residence,2002,Geothermal,Central Air,2,,32234,111,,763,9154,0,54,,
"417 College Hill Ave, Oskaloosa, IA 52577",52577,Single Family Residence,1951,Forced Air,Central Air,,,6534,39,,159,1912,35,139,2363,1787
"2038 Northland Cir, Coralville, IA 52241",52241,Single Family Residence,2002,Natural Gas Central Forced Air,Electric Ceiling Fan(s) Central Air,2,,,136,,457,5482,0,11,1787,3127
"525 W 18th St, Washington, IA 52353",52353,Unimproved Land,,,,,,,,,84,1007,2,155,3127,1805
"8149 Hardwicke Dr, Johnston, IA 50131",50131,Single Family Residence,1997,Forced Air Gas Natural Gas,Central Air,3,420,13504,247,,1485,17824,32,12,1805,1198
"1205 8th St S, Humboldt, IA 50548",50548,Single Family Residence,1976,Forced Air,Central Air,2,,9583,117,,317,3800,11,80,,
"2010 Grantwood St, Iowa City, IA 52240",52240,Single Family Residence,1979,Natural Gas Forced Air,Central Air,2,,,125,,483,5801,38,40,1198,1618
"4016 80th St, Urbandale, IA 50322",50322,Single Family Residence,1972,Forced Air Gas Natural Gas,Central Air,2,,10018,148,,744,8922,58,34,1618,1022
"1771 1771 Golf Course Blvd, Independence, IA 50644",50644,Single Family Residence,2005,Geothermal,Central Air,3,360,92783,198,,2550,30600,2,131,1022,1315
"2632 Racine Ave, Winthrop, IA 50682",50682,Unimproved Land,,,,,,,,,287,3442,0,,,
"676 50th St, Des Moines, IA 50312",50312,Single Family Residence,1926,Hot Water Natural Gas,Central Air,2,,13939,214,,1060,12724,34,58,1315,4091
"228 Bella Vista Dr, Carroll, IA 51401",51401,Unimproved Land,,,,,,,,,1541,18488,12,77,4091,1790
"213 S Walnut St, Lisbon, IA 52253",52253,Single Family Residence,1898,Forced Air Gas,Central Air,2,,7405,115,,418,5011,0,125,,
"1622 Center St NE, Cedar Rapids, IA 52402",52402,Single Family Residence,1941,Forced Air Gas,Central Air,,,11761,124,,276,3314,64,37,1790,3336
"5660 Brook View Ave, Des Moines, IA 50317",50317,Unimproved Land,,,,,,,,,134,1606,7,148,3336,4091
"7124 43rd Ave, Norwalk, IA 50211",50211,Single Family Residence,2021,Electric Forced Air Heat Pump Propane,Central Air,4,,222156,281,,1541,18488,10,59,4091,750
"Of Randolph Rd, Marion, IA 52302",52302,Unimproved Land,,,,,,,,,1700,20400,76,33,750,1278
"313 S Tama St, Manchester, IA 52057",52057,Single Family Residence,1900,Forced Air,Ceiling Fan(s),1,,7666,76,,313,3761,65,95,,
"910 NE Trilein Dr, Ankeny, IA 50021",50021,Single Family Residence,1990,Forced Air Gas Natural Gas,Central Air,2,,10454,150,,680,8157,44,24,,
"1002 Shoal Pointe Dr, Carter Lake, IA 51510",51510,SINGLE_FAMILY,2000,Forced air Electric Gas,Central,,,4748,134,,754,9052,11,145,,
"1518 McKinley Pl, Iowa City, IA 52246",52246,,,,,,,,,,,,0,13,1278,1618
"3307 Rosewood Ct NE, Cedar Rapids, IA 52402",52402,Single Family Residence,1962,Gas,Central Air,1,,8712,154,,504,6044,0,37,1618,3336
"1519 7th Ave SE, Cedar Rapids, IA 52403",52403,Single Family Residence,1910,Gas,Central Air,,,,61,,159,1912,63,48,3336,3336
"307 4th Ave, Charles City, IA 50616",50616,Single Family Residence,1947,Forced Air Natural Gas,Ceiling Fan(s) Window Unit(s),2,,6446,70,,175,2104,67,153,3336,968
"LOT 14 Heritage Ridge Ests, Dubuque, IA 52002",52002,RESIDENTIAL LOT,,,,,,,,,340,4080,0,73,968,1637
"406 S 11th St, Adel, IA 50003",50003,Single Family Residence,1900,Forced Air Gas Natural Gas,Central Air,1,,9583,133,,425,5097,54,35,1637,2142
"7422 Dakota Cir, West Des Moines, IA 50266",50266,Single Family Residence,1997,,,2,,12197,172,,701,8412,31,12,,
